レース番号,競技性別,競技名,世界記録,日本記録,年齢区分,大会記録,順位,チーム名,合計年齢,水路,時間,大会新,LAPタイム,選手名,飛込タイム,タイム
No.3,女子,4x50mフリ-リレ-,1:54.10,1:58.55,200~239歳,2:09.81,4,ザノス川崎,236歳,2/10,2:47.41,,"39.05,1:24.11,2:07.89",齊藤たか子,0.55,43.78
No.3,女子,4x50mフリ-リレ-,1:54.10,1:58.55,200~239歳,2:09.81,4,ザノス川崎,236歳,2/10,2:47.41,,"39.05,1:24.11,2:07.89",川久保ちづる,0.47,39.52
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,1,セ・成城,199歳,3/7,2:15.14,,"33.43,1:08.34,1:44.60",羽田文,0.72,33.43
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,1,セ・成城,199歳,3/7,2:15.14,,"33.43,1:08.34,1:44.60",森直子,0.37,34.91
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,1,セ・成城,199歳,3/7,2:15.14,,"33.43,1:08.34,1:44.60",佐藤洋子,0.42,36.26
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,1,セ・成城,199歳,3/7,2:15.14,,"33.43,1:08.34,1:44.60",佐々木彩,0.18,30.54
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,2,セ・二俣川,192歳,3/8,2:22.32,,"36.52,1:12.00,1:47.97",前田由希映,0.93,36.52
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,2,セ・二俣川,192歳,3/8,2:22.32,,"36.52,1:12.00,1:47.97",松川律子,0.6,35.48
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,2,セ・二俣川,192歳,3/8,2:22.32,,"36.52,1:12.00,1:47.97",吉池奈々,0.48,35.97
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,2,セ・二俣川,192歳,3/8,2:22.32,,"36.52,1:12.00,1:47.97",草野茜,0.31,34.35
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,3,セ・天王洲,179歳,2/7,2:29.78,,"36.27,1:17.80,1:56.69",萩原ゆりか,0.89,36.27
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,3,セ・天王洲,179歳,2/7,2:29.78,,"36.27,1:17.80,1:56.69",森内裕子,0.72,41.53
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,3,セ・天王洲,179歳,2/7,2:29.78,,"36.27,1:17.80,1:56.69",中辷澄美,0.8,38.89
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,3,セ・天王洲,179歳,2/7,2:29.78,,"36.27,1:17.80,1:56.69",四井美穂,0,33.09
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,4,セ・南青山,165歳,3/10,2:38.82,,"42.48,1:30.76,2:05.02",福田ュリャ,0.76,42.48
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,4,セ・南青山,165歳,3/10,2:38.82,,"42.48,1:30.76,2:05.02",山崎美南子,0.46,48.28
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,4,セ・南青山,165歳,3/10,2:38.82,,"42.48,1:30.76,2:05.02",皆川すみれ,0.68,34.26
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,4,セ・南青山,165歳,3/10,2:38.82,,"42.48,1:30.76,2:05.02",二宮若葉,0.49,33.8
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,5,セ・茂原,176歳,2/6,2:43.32,,"30.72,1:16.10,2:07.69",岡澤志織,0.83,30.72
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,5,セ・茂原,176歳,2/6,2:43.32,,"30.72,1:16.10,2:07.69",宮川ひとみ,,45.38
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,5,セ・茂原,176歳,2/6,2:43.32,,"30.72,1:16.10,2:07.69",齋藤準子,0.64,51.59
No.3,女子,4x50mフリ-リレ-,1:48.44,1:54.99,160~199歳,2:05.08,5,セ・茂原,176歳,2/6,2:43.32,,"30.72,1:16.10,2:07.69",岡澤美咲,0.64,35.63
No.3,女子,4x50mフリ-リレ-,1:49.03,1:50.35,120~159歳,2:00.42,1,セ・おおたか,152歳,3/3,2:17.20,,"34.01,1:11.46,1:45.56",中村可奈子,0.76,34.01
No.3,女子,4x50mフリ-リレ-,1:49.03,1:50.35,120~159歳,2:00.42,1,セ・おおたか,152歳,3/3,2:17.20,,"34.01,1:11.46,1:45.56",髙橋未沙,0.92,37.45
No.3,女子,4x50mフリ-リレ-,1:49.03,1:50.35,120~159歳,2:00.42,1,セ・おおたか,152歳,3/3,2:17.20,,"34.01,1:11.46,1:45.56",柳有美子,0.44,34.1
No.3,女子,4x50mフリ-リレ-,1:49.03,1:50.35,120~159歳,2:00.42,1,セ・おおたか,152歳,3/3,2:17.20,,"34.01,1:11.46,1:45.56",嶋田菜々子,0.34,31.64
No.3,女子,4x50mフリ-リレ-,1:49.03,1:50.35,120~159歳,2:00.42,2,セ・平塚,155歳,3/1,2:19.94,,"36.15,1:14.59,1:45.79",藤本淑恵,0.93,36.15
No.3,女子,4x50mフリ-リレ-,1:49.03,1:50.35,120~159歳,2:00.42,2,セ・平塚,155歳,3/1,2:19.94,,"36.15,1:14.59,1:45.79",西田真樹,0.52,38.44
No.3,女子,4x50mフリ-リレ-,1:49.03,1:50.35,120~159歳,2:00.42,2,セ・平塚,155歳,3/1,2:19.94,,"36.15,1:14.59,1:45.79",木田景子,0.15,31.2
No.3,女子,4x50mフリ-リレ-,1:49.03,1:50.35,120~159歳,2:00.42,2,セ・平塚,155歳,3/1,2:19.94,,"36.15,1:14.59,1:45.79",足立知実,0.69,34.15
No.3,女子,4x50mフリ-リレ-,1:50.28,1:49.78,72~119歳,1:57.97,1,セ・成城,111歳,3/6,2:04.63,,"31.55,1:03.10,1:33.13",広瀬幸音,0.77,31.55
No.3,女子,4x50mフリ-リレ-,1:50.28,1:49.78,72~119歳,1:57.97,1,セ・成城,111歳,3/6,2:04.63,,"31.55,1:03.10,1:33.13",宮田さくら,0.18,31.55
No.3,女子,4x50mフリ-リレ-,1:50.28,1:49.78,72~119歳,1:57.97,1,セ・成城,111歳,3/6,2:04.63,,"31.55,1:03.10,1:33.13",仲田笑美,0.39,30.03
No.3,女子,4x50mフリ-リレ-,1:50.28,1:49.78,72~119歳,1:57.97,1,セ・成城,111歳,3/6,2:04.63,,"31.55,1:03.10,1:33.13",中畑眸,0.44,31.5
No.3,女子,4x50mフリ-リレ-,1:50.28,1:49.78,72~119歳,1:57.97,2,セ・二俣川,100歳,3/5,2:06.77,,"30.54,1:04.51,1:37.05",表侑寿,0.67,30.54
No.3,女子,4x50mフリ-リレ-,1:50.28,1:49.78,72~119歳,1:57.97,2,セ・二俣川,100歳,3/5,2:06.77,,"30.54,1:04.51,1:37.05",松本彩花,0.49,33.97
No.3,女子,4x50mフリ-リレ-,1:50.28,1:49.78,72~119歳,1:57.97,2,セ・二俣川,100歳,3/5,2:06.77,,"30.54,1:04.51,1:37.05",深堀陽子,0.55,32.54
No.3,女子,4x50mフリ-リレ-,1:50.28,1:49.78,72~119歳,1:57.97,2,セ・二俣川,100歳,3/5,2:06.77,,"30.54,1:04.51,1:37.05",竹下菜々美,0.43,29.72
No.4,男子,4x50mフリ-リレ-,1:53.43,2:02.59,280~319歳,2:18.54,1,セ・成城,296歳,1/7,2:28.92,,"35.22,1:10.05,1:47.34",若宮強,0.73,35.22
No.4,男子,4x50mフリ-リレ-,1:53.43,2:02.59,280~319歳,2:18.54,1,セ・成城,296歳,1/7,2:28.92,,"35.22,1:10.05,1:47.34",木津誠,0.54,34.83
No.4,男子,4x50mフリ-リレ-,1:53.43,2:02.59,280~319歳,2:18.54,1,セ・成城,296歳,1/7,2:28.92,,"35.22,1:10.05,1:47.34",吉田亮,0.75,37.29
No.4,男子,4x50mフリ-リレ-,1:53.43,2:02.59,280~319歳,2:18.54,1,セ・成城,296歳,1/7,2:28.92,,"35.22,1:10.05,1:47.34",松下達一,0.91,41.58
No.4,男子,4x50mフリ-リレ-,1:42.40,1:52.37,240~279歳,1:53.59,1,セ・前橋,241歳,3/5,1:53.10,,"28.77,56.4,1:26.45",平田貴幸,0.72,28.77
No.4,男子,4x50mフリ-リレ-,1:42.40,1:52.37,240~279歳,1:53.59,1,セ・前橋,241歳,3/5,1:53.10,,"28.77,56.4,1:26.45",荒川秀明,0.31,27.63
No.4,男子,4x50mフリ-リレ-,1:42.40,1:52.37,240~279歳,1:53.59,1,セ・前橋,241歳,3/5,1:53.10,,"28.77,56.4,1:26.45",滋野文夫,0.51,30.05
No.4,男子,4x50mフリ-リレ-,1:42.40,1:52.37,240~279歳,1:53.59,1,セ・前橋,241歳,3/5,1:53.10,,"28.77,56.4,1:26.45",金子惠一,0.31,26.65
No.4,男子,4x50mフリ-リレ-,1:42.40,1:52.37,240~279歳,1:53.59,2,セ・二俣川,240歳,2/6,2:08.11,,"32.18,1:10.35,1:38.66",冨松実,0.71,32.18
No.4,男子,4x50mフリ-リレ-,1:42.40,1:52.37,240~279歳,1:53.59,2,セ・二俣川,240歳,2/6,2:08.11,,"32.18,1:10.35,1:38.66",香川左近,0.78,38.17
No.4,男子,4x50mフリ-リレ-,1:42.40,1:52.37,240~279歳,1:53.59,2,セ・二俣川,240歳,2/6,2:08.11,,"32.18,1:10.35,1:38.66",長崎啓,0.45,28.31
No.4,男子,4x50mフリ-リレ-,1:42.40,1:52.37,240~279歳,1:53.59,2,セ・二俣川,240歳,2/6,2:08.11,,"32.18,1:10.35,1:38.66",石上智啓,0.38,29.45
No.4,男子,4x50mフリ-リレ-,1:42.40,1:52.37,240~279歳,1:53.59,3,セ・市ヶ尾,250歳,2/7,2:15.47,,"32.84,1:06.67,1:42.60",神尾尚人,0.69,32.84
No.4,男子,4x50mフリ-リレ-,1:42.40,1:52.37,240~279歳,1:53.59,3,セ・市ヶ尾,250歳,2/7,2:15.47,,"32.84,1:06.67,1:42.60",大滝恭伸,0.16,33.83
No.4,男子,4x50mフリ-リレ-,1:42.40,1:52.37,240~279歳,1:53.59,3,セ・市ヶ尾,250歳,2/7,2:15.47,,"32.84,1:06.67,1:42.60",茂木和哉,0.17,35.93
No.4,男子,4x50mフリ-リレ-,1:42.40,1:52.37,240~279歳,1:53.59,3,セ・市ヶ尾,250歳,2/7,2:15.47,,"32.84,1:06.67,1:42.60",塚越有宏,0.36,32.87
No.4,男子,4x50mフリ-リレ-,1:42.40,1:52.37,240~279歳,1:53.59,4,セ・長津田,244歳,1/5,2:19.45,,"33.08,1:10.40,1:49.61",金子謙一,0.78,33.08
No.4,男子,4x50mフリ-リレ-,1:42.40,1:52.37,240~279歳,1:53.59,4,セ・長津田,244歳,1/5,2:19.45,,"33.08,1:10.40,1:49.61",西森文史郎,0.47,37.32
No.4,男子,4x50mフリ-リレ-,1:42.40,1:52.37,240~279歳,1:53.59,4,セ・長津田,244歳,1/5,2:19.45,,"33.08,1:10.40,1:49.61",飯沼明,0.6,39.21
No.4,男子,4x50mフリ-リレ-,1:42.40,1:52.37,240~279歳,1:53.59,4,セ・長津田,244歳,1/5,2:19.45,,"33.08,1:10.40,1:49.61",西野宮冬木,0.33,29.84
No.4,男子,4x50mフリ-リレ-,1:42.40,1:52.37,240~279歳,1:53.59,5,セ・おおたか,255歳,1/2,2:49.40,,"39.59,1:26.80,2:02.84",橋本亘,0.96,39.59
